baseline_level,merchant,provider,payment_method,country,weekday,hour,attempts,approvals,declines,approval_rate,average_amount,is_reliable
L1_FULL,Merchant_A,Adyen,PIX,BR,3,2,4,4,0,1.0,258.64,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,3,2,2,0,1.0,405.61,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,4,1,0,1,0.0,510.39,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,5,5,5,0,1.0,269.14,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,6,14,14,0,1.0,310.93,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,7,26,24,2,0.9231,356.1,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,8,32,30,2,0.9375,306.56,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,9,56,53,3,0.9464,264.3,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,10,58,54,4,0.931,312.66,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,11,65,64,1,0.9846,292.43,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,12,49,49,0,1.0,273.6,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,13,72,67,5,0.9306,311.6,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,14,47,46,1,0.9787,301.07,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,15,60,59,1,0.9833,276.34,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,16,42,42,0,1.0,275.81,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,17,57,56,1,0.9825,311.34,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,18,59,55,4,0.9322,281.37,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,19,50,47,3,0.94,274.61,True
L1_FULL,Merchant_A,Adyen,PIX,BR,3,20,27,27,0,1.0,302.95,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,21,21,20,1,0.9524,317.98,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,22,12,12,0,1.0,274.04,False
L1_FULL,Merchant_A,Adyen,PIX,BR,3,23,5,4,1,0.8,267.46,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,0,6,6,0,1.0,232.02,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,1,6,6,0,1.0,196.26,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,2,1,1,0,1.0,28.0,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,3,4,4,0,1.0,312.74,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,4,3,2,1,0.6667,277.06,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,5,5,5,0,1.0,262.4,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,6,11,10,1,0.9091,375.13,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,7,28,26,2,0.9286,302.86,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,8,38,35,3,0.9211,239.72,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,9,68,64,4,0.9412,321.96,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,10,50,49,1,0.98,296.09,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,11,68,62,6,0.9118,279.79,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,12,66,62,4,0.9394,278.05,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,13,69,61,8,0.8841,266.43,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,14,60,54,6,0.9,286.5,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,15,62,61,1,0.9839,253.61,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,16,47,44,3,0.9362,271.35,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,17,54,52,2,0.963,308.36,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,18,45,43,2,0.9556,304.61,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,19,46,44,2,0.9565,266.93,True
L1_FULL,Merchant_A,Adyen,PIX,BR,4,20,26,26,0,1.0,314.89,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,21,18,18,0,1.0,284.82,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,22,7,7,0,1.0,234.01,False
L1_FULL,Merchant_A,Adyen,PIX,BR,4,23,8,8,0,1.0,225.45,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,0,8,7,1,0.875,337.07,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,1,2,2,0,1.0,243.88,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,2,5,5,0,1.0,163.71,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,3,1,1,0,1.0,370.43,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,4,5,5,0,1.0,393.09,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,5,2,2,0,1.0,223.86,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,6,12,11,1,0.9167,326.99,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,7,23,21,2,0.913,348.28,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,8,40,37,3,0.925,308.22,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,9,60,57,3,0.95,265.22,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,10,118,112,6,0.9492,298.49,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,11,71,69,2,0.9718,263.48,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,12,53,50,3,0.9434,256.97,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,13,57,50,7,0.8772,270.79,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,14,54,52,2,0.963,273.29,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,15,65,64,1,0.9846,261.32,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,16,43,40,3,0.9302,298.59,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,17,61,56,5,0.918,240.29,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,18,51,50,1,0.9804,327.38,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,19,35,33,2,0.9429,324.26,True
L1_FULL,Merchant_A,Adyen,PIX,BR,5,20,24,23,1,0.9583,262.13,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,21,12,11,1,0.9167,274.28,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,22,10,9,1,0.9,393.22,False
L1_FULL,Merchant_A,Adyen,PIX,BR,5,23,7,7,0,1.0,307.58,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,0,9,9,0,1.0,282.41,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,1,1,1,0,1.0,210.5,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,2,5,5,0,1.0,363.21,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,3,2,2,0,1.0,359.14,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,4,3,3,0,1.0,287.0,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,5,2,2,0,1.0,402.24,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,6,16,14,2,0.875,304.65,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,7,33,31,2,0.9394,368.4,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,8,38,33,5,0.8684,276.75,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,9,51,51,0,1.0,281.16,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,10,58,53,5,0.9138,287.01,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,11,54,50,4,0.9259,316.02,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,12,67,59,8,0.8806,277.58,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,13,60,56,4,0.9333,293.7,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,14,58,52,6,0.8966,251.42,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,15,55,54,1,0.9818,295.42,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,16,47,46,1,0.9787,315.35,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,17,51,48,3,0.9412,274.98,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,18,40,39,1,0.975,291.81,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,19,48,44,4,0.9167,301.91,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,20,30,28,2,0.9333,277.55,True
L1_FULL,Merchant_A,Adyen,PIX,BR,6,21,18,17,1,0.9444,290.12,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,22,9,7,2,0.7778,286.29,False
L1_FULL,Merchant_A,Adyen,PIX,BR,6,23,11,11,0,1.0,276.53,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,0,6,5,1,0.8333,81019.16,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,1,2,1,1,0.5,219921.18,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,2,1,1,0,1.0,116977.83,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,4,2,2,0,1.0,79538.78,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,5,3,3,0,1.0,159561.47,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,6,13,11,2,0.8462,98351.21,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,7,35,28,7,0.8,122600.91,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,8,45,40,5,0.8889,128284.37,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,9,45,34,11,0.7556,110363.28,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,10,60,56,4,0.9333,128796.42,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,11,76,58,18,0.7632,116614.8,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,12,66,60,6,0.9091,131025.35,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,13,68,64,4,0.9412,125948.03,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,14,55,53,2,0.9636,129663.88,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,15,52,46,6,0.8846,133610.1,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,16,53,48,5,0.9057,126281.03,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,17,41,36,5,0.878,128234.48,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,18,44,37,7,0.8409,107123.08,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,19,33,27,6,0.8182,103668.35,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,20,31,27,4,0.871,122110.41,True
L1_FULL,Merchant_A,Adyen,PSE,CO,0,21,16,15,1,0.9375,106810.81,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,22,9,9,0,1.0,115010.71,False
L1_FULL,Merchant_A,Adyen,PSE,CO,0,23,5,4,1,0.8,136703.1,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,0,5,5,0,1.0,75584.45,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,1,4,4,0,1.0,136045.88,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,2,4,4,0,1.0,88914.72,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,3,2,1,1,0.5,122306.99,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,4,3,3,0,1.0,135398.72,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,5,8,8,0,1.0,102667.15,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,6,13,12,1,0.9231,141871.25,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,7,27,24,3,0.8889,130865.96,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,8,32,29,3,0.9062,138601.65,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,9,40,38,2,0.95,115751.41,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,10,68,55,13,0.8088,111514.95,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,11,70,62,8,0.8857,121273.75,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,12,70,63,7,0.9,114119.92,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,13,58,47,11,0.8103,130175.12,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,14,51,41,10,0.8039,110975.57,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,15,70,62,8,0.8857,123733.5,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,16,53,45,8,0.8491,122860.43,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,17,49,44,5,0.898,116166.34,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,18,49,45,4,0.9184,121978.82,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,19,41,38,3,0.9268,126240.71,True
L1_FULL,Merchant_A,Adyen,PSE,CO,1,20,24,19,5,0.7917,131167.69,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,21,17,15,2,0.8824,127909.5,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,22,9,9,0,1.0,131047.56,False
L1_FULL,Merchant_A,Adyen,PSE,CO,1,23,8,7,1,0.875,148983.42,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,0,10,7,3,0.7,103584.65,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,1,4,4,0,1.0,124719.28,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,2,3,3,0,1.0,177585.91,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,3,1,1,0,1.0,38463.51,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,4,4,4,0,1.0,130630.96,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,5,5,4,1,0.8,101329.65,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,6,13,13,0,1.0,134515.85,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,7,31,26,5,0.8387,117427.47,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,8,40,36,4,0.9,126436.23,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,9,61,54,7,0.8852,126954.72,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,10,60,53,7,0.8833,130034.02,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,11,70,59,11,0.8429,110852.59,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,12,64,60,4,0.9375,126951.38,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,13,70,64,6,0.9143,137070.19,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,14,74,66,8,0.8919,122286.32,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,15,60,52,8,0.8667,122361.99,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,16,59,49,10,0.8305,120019.31,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,17,67,54,13,0.806,127430.51,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,18,49,42,7,0.8571,110474.96,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,19,41,33,8,0.8049,114188.06,True
L1_FULL,Merchant_A,Adyen,PSE,CO,2,20,29,22,7,0.7586,127137.48,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,21,19,17,2,0.8947,117282.92,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,22,13,12,1,0.9231,95882.04,False
L1_FULL,Merchant_A,Adyen,PSE,CO,2,23,4,4,0,1.0,123738.06,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,0,8,6,2,0.75,133831.16,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,1,4,4,0,1.0,121017.69,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,2,3,3,0,1.0,105986.34,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,4,2,2,0,1.0,112593.32,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,5,1,1,0,1.0,225302.75,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,6,16,13,3,0.8125,123061.84,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,7,25,23,2,0.92,131514.18,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,8,37,35,2,0.9459,116826.7,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,9,48,39,9,0.8125,120889.92,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,10,65,55,10,0.8462,113299.25,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,11,65,58,7,0.8923,116547.61,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,12,70,60,10,0.8571,123910.81,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,13,66,57,9,0.8636,128456.34,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,14,67,59,8,0.8806,108243.1,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,15,65,58,7,0.8923,143756.65,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,16,64,55,9,0.8594,123417.8,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,17,62,57,5,0.9194,129339.33,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,18,52,49,3,0.9423,134041.01,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,19,38,33,5,0.8684,109794.54,True
L1_FULL,Merchant_A,Adyen,PSE,CO,3,20,26,23,3,0.8846,108231.49,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,21,14,12,2,0.8571,100195.84,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,22,14,11,3,0.7857,135313.16,False
L1_FULL,Merchant_A,Adyen,PSE,CO,3,23,7,6,1,0.8571,110467.81,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,0,9,6,3,0.6667,127805.39,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,1,3,3,0,1.0,102438.73,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,2,2,2,0,1.0,113833.22,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,3,1,1,0,1.0,83645.9,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,4,4,4,0,1.0,88116.86,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,5,7,5,2,0.7143,86304.79,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,6,14,13,1,0.9286,127495.92,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,7,33,29,4,0.8788,148483.14,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,8,47,40,7,0.8511,122069.14,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,9,69,60,9,0.8696,112853.51,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,10,57,48,9,0.8421,124827.95,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,11,61,49,12,0.8033,128010.94,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,12,76,63,13,0.8289,113083.49,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,13,66,60,6,0.9091,126343.01,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,14,69,58,11,0.8406,135304.38,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,15,61,55,6,0.9016,117763.82,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,16,66,60,6,0.9091,128599.34,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,17,55,50,5,0.9091,105904.76,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,18,50,46,4,0.92,123526.85,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,19,38,34,4,0.8947,125255.07,True
L1_FULL,Merchant_A,Adyen,PSE,CO,4,20,26,23,3,0.8846,105456.01,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,21,17,11,6,0.6471,130731.33,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,22,14,13,1,0.9286,94004.55,False
L1_FULL,Merchant_A,Adyen,PSE,CO,4,23,4,4,0,1.0,79371.93,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,0,12,9,3,0.75,145114.63,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,1,4,4,0,1.0,108829.61,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,2,3,2,1,0.6667,100851.44,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,3,4,4,0,1.0,106133.94,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,4,1,1,0,1.0,180624.1,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,5,6,6,0,1.0,107073.42,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,6,13,9,4,0.6923,139243.03,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,7,22,20,2,0.9091,115840.41,False
L1_FULL,Merchant_A,Adyen,PSE,CO,5,8,41,35,6,0.8537,111196.85,True
