transaction_id,timestamp,merchant,provider,payment_method,country,issuing_bank,status,decline_code,amount,currency,retry_flag,original_transaction_id,recovered_after_retry,processing_time_ms,amount_usd
tx_b0614f24f74f,2026-06-30 10:58:23.624998,Merchant_B,Stripe,wallet,MX,,declined,INVALID_CARD,599.15,MXN,True,tx_bf2aaef2f978,False,371,32.95
tx_ecb221e12ca4,2026-06-30 11:00:07.304998,Merchant_B,Stripe,PIX,BR,,approved,,84.67,BRL,False,,False,325,16.93
tx_1d4df8e0102a,2026-06-30 11:01:50.984998,Merchant_C,dLocal,PIX,BR,,approved,,28.0,BRL,False,,False,280,5.6
tx_84687e1b4bb9,2026-06-30 11:03:34.664998,Merchant_C,Adyen,PSE,CO,,approved,,133780.29,COP,False,,False,426,33.45
tx_e2dd03aabe70,2026-06-30 11:05:18.344998,Merchant_C,Adyen,card,MX,BBVA,approved,,985.68,MXN,False,,False,349,54.21
tx_3abcad4ed2c1,2026-06-30 11:07:02.024998,Merchant_C,Stripe,cash_in_store,MX,,approved,,749.45,MXN,False,,False,199,41.22
tx_4672b6536094,2026-06-30 11:08:45.704998,Merchant_B,Adyen,cash_in_store,MX,,declined,SUSPECTED_FRAUD,540.08,MXN,False,,True,318,29.7
tx_bed038f4fed7,2026-06-30 11:10:29.384998,Merchant_C,dLocal,card,MX,Banorte,approved,,1428.56,MXN,False,,False,481,78.57
tx_fc4f73cef335,2026-06-30 11:12:13.064998,Merchant_B,Stripe,PSE,CO,,approved,,12000.0,COP,False,,False,334,3.0
tx_c4b5f41983c9,2026-06-30 11:13:56.744998,Merchant_B,dLocal,card,BR,Itau,approved,,218.39,BRL,False,,False,358,43.68
tx_478d18fd83bb,2026-06-30 11:15:40.424998,Merchant_C,dLocal,card,BR,Bradesco,approved,,377.87,BRL,False,,False,563,75.57
tx_adf577423293,2026-06-30 11:17:24.104998,Merchant_A,dLocal,PIX,BR,,approved,,429.0,BRL,False,,False,339,85.8
tx_752faabc40f1,2026-06-30 11:19:07.784998,Merchant_B,Stripe,card,CO,Bancolombia,approved,,98355.13,COP,False,,False,334,24.59
tx_0b83f11574cc,2026-06-30 11:20:51.464998,Merchant_C,Adyen,card,MX,Santander,approved,,1387.77,MXN,False,,False,316,76.33
tx_fc3bf8a1814b,2026-06-30 11:22:35.144998,Merchant_A,Adyen,wallet,BR,,approved,,250.29,BRL,False,,False,260,50.06
tx_a18d59043e7c,2026-06-30 11:24:18.824998,Merchant_C,dLocal,cash_in_store,MX,,approved,,301.9,MXN,False,,False,537,16.6
tx_55dd6315cd35,2026-06-30 11:26:02.504998,Merchant_C,Adyen,PIX,BR,,approved,,497.0,BRL,False,,False,353,99.4
tx_6cad8abdd378,2026-06-30 11:27:46.184998,Merchant_A,Stripe,wallet,MX,,approved,,1401.77,MXN,False,,False,337,77.1
tx_4df62415901d,2026-06-30 11:29:29.864998,Merchant_A,Stripe,card,BR,Itau,approved,,176.78,BRL,False,,False,337,35.36
tx_67ab8cb9632a,2026-06-30 11:31:13.544998,Merchant_A,dLocal,card,CO,Davivienda,approved,,227662.56,COP,False,,False,435,56.92
tx_ce73e0adc9ac,2026-06-30 11:32:57.224998,Merchant_C,dLocal,cash_in_store,MX,,approved,,1682.32,MXN,False,,False,125,92.53
tx_483595228f77,2026-06-30 11:34:40.904998,Merchant_A,Stripe,card,CO,Banco de Bogota,approved,,177533.18,COP,False,,False,316,44.38
tx_148661807576,2026-06-30 11:36:24.584998,Merchant_C,Stripe,wallet,CO,,approved,,99069.49,COP,False,,False,316,24.77
tx_7232b625700b,2026-06-30 11:38:08.264998,Merchant_B,dLocal,wallet,MX,,approved,,90.0,MXN,False,,False,413,4.95
tx_ae2bba811fc4,2026-06-30 11:39:51.944998,Merchant_A,dLocal,wallet,MX,,approved,,1078.56,MXN,False,,False,617,59.32
tx_3c4d6cf66f99,2026-06-30 11:41:35.624998,Merchant_A,Stripe,PSE,CO,,approved,,83721.08,COP,False,,False,249,20.93
tx_a7eff4c6c087,2026-06-30 11:43:19.304998,Merchant_A,dLocal,cash_in_store,MX,,approved,,649.12,MXN,False,,False,549,35.7
tx_1c31b637b91b,2026-06-30 11:45:02.984998,Merchant_A,Adyen,wallet,MX,,approved,,1064.38,MXN,False,,False,312,58.54
tx_22e4a7b5c8c2,2026-06-30 11:46:46.664998,Merchant_A,Adyen,card,MX,Citibanamex,approved,,1156.63,MXN,False,,False,368,63.61
tx_5f32598df9de,2026-06-30 11:48:30.344998,Merchant_B,Adyen,wallet,CO,,declined,INVALID_CARD,187805.15,COP,False,,True,296,46.95
tx_674deeddc55d,2026-06-30 11:50:14.024998,Merchant_A,Stripe,wallet,CO,,approved,,97063.65,COP,False,,False,280,24.27
tx_9ed56e3ed45f,2026-06-30 11:51:57.704998,Merchant_B,Stripe,wallet,CO,,approved,,187805.15,COP,True,tx_5f32598df9de,True,200,46.95
tx_9393e9b28d29,2026-06-30 11:53:41.384998,Merchant_A,Stripe,wallet,BR,,approved,,327.38,BRL,False,,False,329,65.48
tx_8e175bba59f4,2026-06-30 11:55:25.064998,Merchant_A,dLocal,card,BR,Banco do Brasil,approved,,280.82,BRL,False,,False,411,56.16
tx_bd446d9758ea,2026-06-30 11:57:08.744998,Merchant_C,dLocal,card,MX,BBVA,approved,,192.31,MXN,False,,False,389,10.58
tx_38573400429b,2026-06-30 11:58:52.424998,Merchant_B,Adyen,card,BR,Nubank,approved,,225.17,BRL,False,,False,287,45.03
tx_2beb15acdcaf,2026-06-30 12:00:36.104998,Merchant_C,Adyen,PIX,BR,,approved,,254.19,BRL,False,,False,396,50.84
tx_7811badf168e,2026-06-30 12:02:19.784998,Merchant_A,Adyen,cash_in_store,MX,,declined,INSUFFICIENT_FUNDS,1843.09,MXN,False,,True,375,101.37
tx_67605499cc47,2026-06-30 12:04:03.464998,Merchant_B,dLocal,cash_in_store,MX,,approved,,540.08,MXN,True,tx_4672b6536094,True,470,29.7
tx_eef5d966400e,2026-06-30 12:05:47.144998,Merchant_A,Adyen,wallet,MX,,approved,,862.78,MXN,False,,False,187,47.45
tx_6e7ce30d7c96,2026-06-30 12:07:30.824998,Merchant_B,dLocal,wallet,BR,,approved,,275.76,BRL,False,,False,447,55.15
tx_292d8e9adbee,2026-06-30 12:09:14.504998,Merchant_B,dLocal,card,BR,Bradesco,approved,,674.12,BRL,False,,False,416,134.82
tx_8de026f20773,2026-06-30 12:10:58.184998,Merchant_C,Stripe,PIX,BR,,approved,,328.25,BRL,False,,False,307,65.65
tx_9aa9504859db,2026-06-30 12:12:41.864998,Merchant_A,dLocal,wallet,CO,,approved,,38192.54,COP,False,,False,577,9.55
tx_340558e49cbf,2026-06-30 12:14:25.544998,Merchant_A,Stripe,wallet,CO,,approved,,172635.31,COP,False,,False,369,43.16
tx_273279d3e90a,2026-06-30 12:16:09.224998,Merchant_B,Stripe,cash_in_store,MX,,declined,DO_NOT_HONOR,445.31,MXN,False,,False,415,24.49
tx_56a714fec710,2026-06-30 12:17:52.904998,Merchant_C,Adyen,wallet,BR,,approved,,55.7,BRL,False,,False,412,11.14
tx_fe4ab10b3db1,2026-06-30 12:19:36.584998,Merchant_A,dLocal,cash_in_store,MX,,approved,,1843.09,MXN,True,tx_7811badf168e,True,702,101.37
tx_0bd2d4bbf78c,2026-06-30 12:21:20.264998,Merchant_A,Adyen,card,BR,Itau,approved,,121.51,BRL,False,,False,309,24.3
tx_726e983cb227,2026-06-30 12:23:03.944998,Merchant_B,Stripe,cash_in_store,MX,,approved,,949.83,MXN,False,,False,272,52.24
tx_f090085c1d2e,2026-06-30 12:24:47.624998,Merchant_B,dLocal,wallet,BR,,approved,,31.89,BRL,False,,False,448,6.38
tx_3c85777fdd34,2026-06-30 12:26:31.304998,Merchant_A,Adyen,card,MX,Santander,approved,,368.85,MXN,False,,False,402,20.29
tx_308d1941ec30,2026-06-30 12:28:14.984998,Merchant_C,dLocal,card,CO,Davivienda,approved,,55640.3,COP,False,,False,625,13.91
tx_3a9811a940f9,2026-06-30 12:29:58.664998,Merchant_A,Adyen,card,CO,Bancolombia,approved,,65172.27,COP,False,,False,331,16.29
tx_a713345b2ea8,2026-06-30 12:31:42.344998,Merchant_A,Stripe,card,CO,Banco de Bogota,approved,,176946.21,COP,False,,False,217,44.24
tx_6f0caae42375,2026-06-30 12:33:26.024998,Merchant_B,Adyen,cash_in_store,MX,,approved,,1013.73,MXN,False,,False,477,55.76
tx_768d96b3c94c,2026-06-30 12:35:09.704998,Merchant_B,Stripe,card,BR,Nubank,approved,,28.0,BRL,False,,False,323,5.6
tx_10859d98d89e,2026-06-30 12:36:53.384998,Merchant_A,Stripe,wallet,CO,,approved,,138191.8,COP,False,,False,368,34.55
tx_23ae27f5933c,2026-06-30 12:38:37.064998,Merchant_B,dLocal,wallet,CO,,approved,,33413.45,COP,False,,False,281,8.35
tx_abebc98e2341,2026-06-30 12:40:20.744998,Merchant_B,Stripe,cash_in_store,MX,,approved,,1160.97,MXN,False,,False,332,63.85
tx_cbcd805f666d,2026-06-30 12:42:04.424998,Merchant_C,dLocal,wallet,BR,,approved,,320.08,BRL,False,,False,481,64.02
tx_9b959d61d3f8,2026-06-30 12:43:48.104998,Merchant_A,dLocal,PSE,CO,,approved,,72398.27,COP,False,,False,467,18.1
tx_5e0fb5d8c6f8,2026-06-30 12:45:31.784998,Merchant_C,Adyen,cash_in_store,MX,,approved,,1046.54,MXN,False,,False,295,57.56
tx_3161bedb05ad,2026-06-30 12:47:15.464998,Merchant_C,Adyen,wallet,CO,,approved,,250604.22,COP,False,,False,402,62.65
tx_250df03b0e5b,2026-06-30 12:48:59.144998,Merchant_C,dLocal,card,CO,Banco de Bogota,approved,,36608.76,COP,False,,False,518,9.15
tx_713db5e315dd,2026-06-30 12:50:42.824998,Merchant_B,Adyen,card,MX,Citibanamex,approved,,412.66,MXN,False,,False,430,22.7
tx_9fb8eae69b46,2026-06-30 12:52:26.504998,Merchant_B,Adyen,PSE,CO,,approved,,201101.69,COP,False,,False,286,50.28
tx_c03726da56ab,2026-06-30 12:54:10.184998,Merchant_A,dLocal,card,BR,Nubank,approved,,434.14,BRL,False,,False,489,86.83
tx_d8bae4abf60b,2026-06-30 12:55:53.864998,Merchant_A,Stripe,wallet,CO,,approved,,177544.21,COP,False,,False,452,44.39
tx_8ab41150a6ab,2026-06-30 12:57:37.544998,Merchant_A,Stripe,card,MX,Citibanamex,approved,,777.31,MXN,False,,False,253,42.75
tx_b9802c74de35,2026-06-30 12:59:21.224998,Merchant_B,dLocal,wallet,CO,,approved,,57733.99,COP,False,,False,342,14.43
tx_cff410687ec8,2026-06-30 13:01:04.904998,Merchant_B,Stripe,card,CO,Banco de Bogota,approved,,114602.88,COP,False,,False,335,28.65
tx_9c62f167a916,2026-06-30 13:02:48.584998,Merchant_B,Stripe,card,MX,Citibanamex,approved,,1038.35,MXN,False,,False,372,57.11
tx_b24a2c2d74ed,2026-06-30 13:04:32.264998,Merchant_B,Stripe,wallet,MX,,approved,,906.5,MXN,False,,False,419,49.86
tx_c9fd45daa58a,2026-06-30 13:06:15.944998,Merchant_B,Adyen,wallet,BR,,approved,,237.65,BRL,False,,False,604,47.53
tx_50cc2653c1cc,2026-06-30 13:07:59.624998,Merchant_C,Adyen,card,CO,Banco de Bogota,approved,,163796.71,COP,False,,False,282,40.95
tx_95790944f5ad,2026-06-30 13:09:43.304998,Merchant_C,Adyen,cash_in_store,MX,,approved,,364.55,MXN,False,,False,403,20.05
tx_ac11928c48eb,2026-06-30 13:11:26.984998,Merchant_A,dLocal,PSE,CO,,approved,,104357.61,COP,False,,False,525,26.09
tx_893778828c18,2026-06-30 13:13:10.664998,Merchant_A,Stripe,card,BR,Bradesco,approved,,355.72,BRL,False,,False,304,71.14
tx_2395cb93e83a,2026-06-30 13:14:54.344998,Merchant_A,Adyen,wallet,MX,,approved,,476.6,MXN,False,,False,223,26.21
tx_709e69709f0a,2026-06-30 13:16:38.024998,Merchant_A,Adyen,wallet,MX,,approved,,676.74,MXN,False,,False,437,37.22
tx_a15584ef26ec,2026-06-30 13:18:21.704998,Merchant_A,dLocal,PIX,BR,,approved,,314.25,BRL,False,,False,290,62.85
tx_0a930431a23d,2026-06-30 13:20:05.384998,Merchant_B,Adyen,wallet,CO,,approved,,132122.66,COP,False,,False,394,33.03
tx_32322a542a00,2026-06-30 13:21:49.064998,Merchant_A,Adyen,card,BR,Nubank,approved,,138.58,BRL,False,,False,373,27.72
tx_d4c71d81f381,2026-06-30 13:23:32.744998,Merchant_B,dLocal,cash_in_store,MX,,declined,INVALID_CARD,445.31,MXN,True,tx_273279d3e90a,False,446,24.49
tx_91f1bfa95f9c,2026-06-30 13:25:16.424998,Merchant_A,Adyen,card,BR,Itau,approved,,97.12,BRL,False,,False,392,19.42
tx_622ea4187091,2026-06-30 13:27:00.104998,Merchant_C,dLocal,card,BR,Itau,approved,,369.73,BRL,False,,False,569,73.95
tx_32f27408b40f,2026-06-30 13:28:43.784998,Merchant_B,Stripe,card,MX,Banorte,approved,,1426.9,MXN,False,,False,206,78.48
tx_11af7f0a0053,2026-06-30 13:30:27.464998,Merchant_B,Adyen,wallet,MX,,approved,,431.09,MXN,False,,False,406,23.71
tx_1f7e826dff88,2026-06-30 13:32:11.144998,Merchant_B,Adyen,PSE,CO,,approved,,155965.02,COP,False,,False,406,38.99
tx_3e1ed9f4fec9,2026-06-30 13:33:54.824998,Merchant_A,dLocal,wallet,CO,,approved,,389691.2,COP,False,,False,508,97.42
tx_c2a4d1ab9c89,2026-06-30 13:35:38.504998,Merchant_A,dLocal,card,CO,Banco de Bogota,approved,,199489.59,COP,False,,False,554,49.87
tx_fadeb99fe9d5,2026-06-30 13:37:22.184998,Merchant_A,Stripe,card,MX,Santander,approved,,1225.7,MXN,False,,False,286,67.41
tx_6d343ccbd8f5,2026-06-30 13:39:05.864998,Merchant_C,Stripe,wallet,CO,,declined,INVALID_CARD,173127.85,COP,False,,True,252,43.28
tx_61c07912b7e9,2026-06-30 13:40:49.544998,Merchant_A,dLocal,wallet,CO,,declined,INSUFFICIENT_FUNDS,103422.7,COP,False,,False,381,25.86
tx_0b85c6ed46fa,2026-06-30 13:42:33.224998,Merchant_B,Stripe,cash_in_store,MX,,approved,,940.94,MXN,False,,False,483,51.75
tx_f79da72e5d0d,2026-06-30 13:44:16.904998,Merchant_B,Adyen,wallet,BR,,approved,,28.0,BRL,False,,False,421,5.6
tx_ce9064802b17,2026-06-30 13:46:00.584998,Merchant_A,Stripe,wallet,BR,,approved,,28.0,BRL,False,,False,274,5.6
tx_28304ba33ebe,2026-06-30 13:47:44.264998,Merchant_A,dLocal,card,BR,Nubank,approved,,454.23,BRL,False,,False,447,90.85
tx_3f49a80e1e1e,2026-06-30 13:49:27.944998,Merchant_C,dLocal,wallet,MX,,approved,,361.13,MXN,False,,False,354,19.86
tx_15bc590fd018,2026-06-30 13:51:11.624998,Merchant_A,Adyen,PSE,CO,,approved,,167571.84,COP,False,,False,294,41.89
tx_e947ed7f02b0,2026-06-30 13:52:55.304998,Merchant_A,Adyen,card,BR,Nubank,approved,,314.63,BRL,False,,False,364,62.93
tx_3dfbb65e013c,2026-06-30 13:54:38.984998,Merchant_B,Adyen,wallet,CO,,approved,,74387.98,COP,False,,False,552,18.6
tx_463120e742b8,2026-06-30 13:56:22.664998,Merchant_A,Adyen,wallet,MX,,approved,,1216.96,MXN,False,,False,177,66.93
tx_e8cc279266ba,2026-06-30 13:58:06.344998,Merchant_C,Adyen,PIX,BR,,approved,,309.83,BRL,False,,False,300,61.97
tx_1d0053e92812,2026-06-30 13:59:50.024998,Merchant_B,Stripe,wallet,MX,,approved,,1326.22,MXN,False,,False,250,72.94
tx_b5db61aa3f94,2026-06-30 14:01:33.704998,Merchant_C,Adyen,wallet,BR,,approved,,261.64,BRL,False,,False,405,52.33
tx_a28be64ce71c,2026-06-30 14:03:17.384998,Merchant_A,dLocal,wallet,MX,,approved,,1332.88,MXN,False,,False,295,73.31
tx_ca7cf54be4e4,2026-06-30 14:05:01.064998,Merchant_B,dLocal,wallet,BR,,approved,,226.48,BRL,False,,False,383,45.3
tx_5d4be767b9b0,2026-06-30 14:06:44.744998,Merchant_B,Stripe,wallet,MX,,approved,,573.34,MXN,False,,False,442,31.53
tx_3e558ddc8c72,2026-06-30 14:08:28.424998,Merchant_B,Adyen,wallet,BR,,approved,,344.8,BRL,False,,False,246,68.96
tx_0fed4358aee5,2026-06-30 14:10:12.104998,Merchant_C,Adyen,PIX,BR,,approved,,426.86,BRL,False,,False,550,85.37
tx_5316057bfbb1,2026-06-30 14:11:55.784998,Merchant_A,Stripe,wallet,CO,,approved,,192272.57,COP,False,,False,196,48.07
tx_4a3975718893,2026-06-30 14:13:39.464998,Merchant_C,Stripe,card,BR,Bradesco,approved,,202.52,BRL,False,,False,405,40.5
tx_297c8aa126b1,2026-06-30 14:15:23.144998,Merchant_C,dLocal,PIX,BR,,declined,DO_NOT_HONOR,166.77,BRL,False,,False,493,33.35
tx_376381edad02,2026-06-30 14:17:06.824998,Merchant_A,Adyen,card,CO,Banco de Bogota,approved,,174224.38,COP,False,,False,276,43.56
tx_4cd8e7719821,2026-06-30 14:18:50.504998,Merchant_C,Adyen,cash_in_store,MX,,declined,INVALID_CARD,870.24,MXN,False,,True,68,47.86
tx_9fd4ec105f7d,2026-06-30 14:20:34.184998,Merchant_C,Adyen,wallet,MX,,approved,,387.81,MXN,False,,False,337,21.33
tx_c7a594f500bf,2026-06-30 14:22:17.864998,Merchant_B,Adyen,card,MX,BBVA,approved,,276.11,MXN,False,,False,506,15.19
tx_546a8134be20,2026-06-30 14:24:01.544998,Merchant_C,Stripe,wallet,CO,,approved,,173127.85,COP,True,tx_6d343ccbd8f5,True,202,43.28
tx_63a16a59f76d,2026-06-30 14:25:45.224998,Merchant_A,Stripe,card,CO,Banco de Bogota,approved,,89196.89,COP,False,,False,319,22.3
tx_6c93f7130ecc,2026-06-30 14:27:28.904998,Merchant_A,dLocal,PIX,BR,,approved,,510.6,BRL,False,,False,267,102.12
tx_fc0ccec834c6,2026-06-30 14:29:12.584998,Merchant_B,Adyen,wallet,BR,,approved,,466.11,BRL,False,,False,360,93.22
tx_9910bf0bd9ea,2026-06-30 14:30:56.264998,Merchant_A,Stripe,wallet,BR,,approved,,122.96,BRL,False,,False,344,24.59
tx_5e7253451296,2026-06-30 14:32:39.944998,Merchant_A,Stripe,cash_in_store,MX,,approved,,999.53,MXN,False,,False,264,54.97
tx_7a94ca1f9bdd,2026-06-30 14:34:23.624998,Merchant_C,dLocal,PIX,BR,,declined,SUSPECTED_FRAUD,166.77,BRL,True,tx_297c8aa126b1,False,448,33.35
tx_b46632973188,2026-06-30 14:36:07.304998,Merchant_C,dLocal,cash_in_store,MX,,approved,,870.24,MXN,True,tx_4cd8e7719821,True,393,47.86
tx_535dc62de0b1,2026-06-30 14:37:50.984998,Merchant_C,Stripe,wallet,MX,,approved,,956.76,MXN,False,,False,359,52.62
tx_d3d7dd4c3761,2026-06-30 14:39:34.664998,Merchant_A,Adyen,card,BR,Bradesco,approved,,533.76,BRL,False,,False,248,106.75
tx_8d7e4bff4e21,2026-06-30 14:41:18.344998,Merchant_A,Stripe,card,MX,Banorte,approved,,1966.52,MXN,False,,False,163,108.16
tx_106b906e9a61,2026-06-30 14:43:02.024998,Merchant_B,Stripe,PSE,CO,,approved,,109375.04,COP,False,,False,354,27.34
tx_cd1842b61286,2026-06-30 14:44:45.704998,Merchant_C,dLocal,PSE,CO,,approved,,139669.43,COP,False,,False,365,34.92
tx_82197f2928b3,2026-06-30 14:46:29.384998,Merchant_C,Adyen,wallet,CO,,approved,,105431.44,COP,False,,False,315,26.36
tx_93e89f3b7bd1,2026-06-30 14:48:13.064998,Merchant_A,dLocal,wallet,CO,,declined,INSUFFICIENT_FUNDS,103422.7,COP,True,tx_61c07912b7e9,False,369,25.86
tx_9e5d88c58f3a,2026-06-30 14:49:56.744998,Merchant_B,dLocal,cash_in_store,MX,,approved,,1324.8,MXN,False,,False,482,72.86
tx_83e2d52d5c22,2026-06-30 14:51:40.424998,Merchant_A,dLocal,PSE,CO,,approved,,71496.33,COP,False,,False,547,17.87
tx_40ebc3b8b3c8,2026-06-30 14:53:24.104998,Merchant_A,Adyen,PSE,CO,,approved,,141510.97,COP,False,,False,433,35.38
tx_26739b771572,2026-06-30 14:55:07.784998,Merchant_C,Stripe,card,CO,Davivienda,approved,,164074.02,COP,False,,False,247,41.02
tx_90a4345ff638,2026-06-30 14:56:51.464998,Merchant_B,dLocal,PSE,CO,,approved,,80787.33,COP,False,,False,529,20.2
tx_d6c3e43491e5,2026-06-30 14:58:35.144998,Merchant_A,Adyen,card,BR,Nubank,approved,,377.66,BRL,False,,False,358,75.53
tx_4353e1f23240,2026-06-30 15:00:18.824998,Merchant_B,dLocal,card,MX,Citibanamex,approved,,958.66,MXN,False,,False,593,52.73
tx_631e02dbcd1b,2026-06-30 15:02:02.504998,Merchant_C,Adyen,cash_in_store,MX,,approved,,604.21,MXN,False,,False,409,33.23
tx_995f9c9a9b50,2026-06-30 15:03:46.184998,Merchant_B,Stripe,card,BR,Nubank,approved,,247.65,BRL,False,,False,293,49.53
tx_546d3c55e166,2026-06-30 15:05:29.864998,Merchant_B,dLocal,PSE,CO,,approved,,196914.38,COP,False,,False,539,49.23
tx_fc6be543cb40,2026-06-30 15:07:13.544998,Merchant_C,Stripe,wallet,BR,,approved,,410.16,BRL,False,,False,407,82.03
tx_0985fe2cad43,2026-06-30 15:08:57.224998,Merchant_A,dLocal,PIX,BR,,approved,,283.36,BRL,False,,False,521,56.67
tx_ebd060364e09,2026-06-30 15:10:40.904998,Merchant_B,Stripe,cash_in_store,MX,,approved,,744.87,MXN,False,,False,334,40.97
tx_07e6a482f808,2026-06-30 15:12:24.584998,Merchant_C,Adyen,wallet,CO,,approved,,110889.99,COP,False,,False,368,27.72
tx_859aa6cb462e,2026-06-30 15:14:08.264998,Merchant_B,Adyen,card,CO,Davivienda,approved,,161660.99,COP,False,,False,286,40.42
tx_4631d38439a7,2026-06-30 15:15:51.944998,Merchant_A,dLocal,wallet,CO,,approved,,266467.11,COP,False,,False,319,66.62
tx_e0f07e8fe4ec,2026-06-30 15:17:35.624998,Merchant_A,Adyen,wallet,MX,,approved,,292.91,MXN,False,,False,464,16.11
tx_371d6bddf4f3,2026-06-30 15:19:19.304998,Merchant_B,Stripe,PIX,BR,,approved,,406.67,BRL,False,,False,356,81.33
tx_a6ac4f3b3c83,2026-06-30 15:21:02.984998,Merchant_C,dLocal,PIX,BR,,approved,,380.54,BRL,False,,False,438,76.11
tx_f98561b38953,2026-06-30 15:22:46.664998,Merchant_C,Adyen,PSE,CO,,approved,,57192.19,COP,False,,False,366,14.3
tx_45dcbd81660d,2026-06-30 15:24:30.344998,Merchant_B,Adyen,PIX,BR,,approved,,171.65,BRL,False,,False,447,34.33
tx_46701bf99eaf,2026-06-30 15:26:14.024998,Merchant_A,dLocal,PIX,BR,,approved,,256.47,BRL,False,,False,340,51.29
tx_5f1573b0c917,2026-06-30 15:27:57.704998,Merchant_A,Adyen,wallet,CO,,approved,,97502.99,COP,False,,False,397,24.38
tx_2e57c766898e,2026-06-30 15:29:41.384998,Merchant_B,dLocal,wallet,CO,,declined,INVALID_CARD,80539.28,COP,False,,True,341,20.13
tx_ca5eec693d8a,2026-06-30 15:31:25.064998,Merchant_C,dLocal,wallet,MX,,approved,,1021.84,MXN,False,,False,469,56.2
tx_13fe21bf35cf,2026-06-30 15:33:08.744998,Merchant_A,dLocal,PSE,CO,,approved,,84513.98,COP,False,,False,383,21.13
tx_178234d556e5,2026-06-30 15:34:52.424998,Merchant_A,Stripe,PIX,BR,,approved,,317.13,BRL,False,,False,201,63.43
tx_537da9ac9f07,2026-06-30 15:36:36.104998,Merchant_C,Adyen,wallet,BR,,approved,,54.81,BRL,False,,False,295,10.96
tx_8c5c11217e41,2026-06-30 15:38:19.784998,Merchant_C,Adyen,PIX,BR,,approved,,245.85,BRL,False,,False,387,49.17
tx_1abcad3d8b01,2026-06-30 15:40:03.464998,Merchant_C,Stripe,wallet,CO,,approved,,223274.94,COP,False,,False,374,55.82
tx_331e685fe3e7,2026-06-30 15:41:47.144998,Merchant_A,dLocal,card,CO,Davivienda,declined,INSUFFICIENT_FUNDS,108804.3,COP,False,,True,437,27.2
tx_69d4681c2cb6,2026-06-30 15:43:30.824998,Merchant_B,Stripe,card,BR,Nubank,approved,,119.6,BRL,False,,False,308,23.92
tx_2a7e2fbc407a,2026-06-30 15:45:14.504998,Merchant_B,Stripe,card,CO,Banco de Bogota,approved,,99793.9,COP,False,,False,334,24.95
tx_e9e77866b663,2026-06-30 15:46:58.184998,Merchant_A,Stripe,card,MX,Citibanamex,approved,,486.38,MXN,False,,False,348,26.75
tx_9dc780f8ba2b,2026-06-30 15:48:41.864998,Merchant_A,Stripe,PIX,BR,,approved,,525.24,BRL,False,,False,301,105.05
tx_fb9e1af59d73,2026-06-30 15:50:25.544998,Merchant_A,Adyen,PIX,BR,,approved,,344.27,BRL,False,,False,422,68.85
