incident_candidate_id,cluster_key,detection_level,start_time,end_time,duration_minutes,validated_windows,merchant,provider,payment_method,country,issuing_bank,attempts,approvals,observed_approval_rate,expected_approval_rate,approval_rate_drop,maximum_z_score,average_z_score,dominant_decline_code,incident_ids,average_injected_share,maximum_injected_share
CAND-38508F1C,L4_BANK_COUNTRY|country=MX|issuing_bank=BBVA,L4_BANK_COUNTRY,2026-08-31 10:05:00,2026-08-31 10:08:00,4,4,,,,MX,BBVA,456,364,0.7982456140350878,0.9166666666666666,0.11842105263157887,6.9283474221489465,4.390303549505884,ISSUER_UNAVAILABLE,INC-002,0.22433589512797428,0.303030303030303
CAND-DAFDE088,L5_PROVIDER_METHOD_COUNTRY|provider=Adyen|payment_method=PIX|country=BR,L5_PROVIDER_METHOD_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,Adyen,PIX,BR,,202,112,0.5544554455445545,0.9011627906976744,0.34670734515311985,9.291020221347768,8.268119125640563,PROCESSOR_ERROR,INC-001,1.0,1.0
CAND-FF120A25,L5_PROVIDER_METHOD_COUNTRY|provider=Adyen|payment_method=card|country=BR,L5_PROVIDER_METHOD_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,Adyen,card,BR,,163,86,0.5276073619631901,0.9193548387096774,0.39174747674648724,12.47331212598539,9.049112195492752,PROCESSOR_ERROR,INC-001,1.0,1.0
CAND-EBC70A56,L5_PROVIDER_METHOD_COUNTRY|provider=Adyen|payment_method=card|country=MX,L5_PROVIDER_METHOD_COUNTRY,2026-08-31 10:08:00,2026-08-31 10:08:00,1,1,,Adyen,card,MX,,45,35,0.7777777777777778,0.9545454545454545,0.17676767676767668,5.692750425533114,5.692750425533114,ISSUER_UNAVAILABLE,INC-002,0.1111111111111111,0.1111111111111111
CAND-A9EE9E4A,L5_PROVIDER_METHOD_COUNTRY|provider=Adyen|payment_method=cash_in_store|country=MX,L5_PROVIDER_METHOD_COUNTRY,2026-08-31 10:07:00,2026-08-31 10:07:00,1,1,,Adyen,cash_in_store,MX,,40,31,0.775,0.88659793814433,0.11159793814432994,2.225934252869398,2.225934252869398,SUSPECTED_FRAUD,,0.0,0.0
CAND-C6E57CB7,L5_PROVIDER_METHOD_COUNTRY|provider=Adyen|payment_method=wallet|country=BR,L5_PROVIDER_METHOD_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,Adyen,wallet,BR,,173,88,0.5086705202312138,0.9025974025974026,0.3939268823661888,9.675228660590449,8.756364703376253,PROCESSOR_ERROR,INC-001,1.0,1.0
CAND-F4E72B78,L5_PROVIDER_METHOD_COUNTRY|provider=dLocal|payment_method=PIX|country=BR,L5_PROVIDER_METHOD_COUNTRY,2026-08-31 10:08:00,2026-08-31 10:08:00,1,1,,dLocal,PIX,BR,,52,45,0.8653846153846154,0.9567901234567902,0.09140550807217473,3.2417101757442133,3.2417101757442133,SUSPECTED_FRAUD,,0.0,0.0
CAND-771167FC,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_A|country=BR,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_A,,,BR,,380,296,0.7789473684210526,0.9304347826086957,0.1514874141876431,8.152413763740991,5.804093362606296,PROCESSOR_ERROR,INC-001,0.3607899008497413,0.3846153846153846
CAND-6A150A8A,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_A|country=BR|issuing_bank=Itau,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:07:00,2026-08-31 10:07:00,1,1,Merchant_A,,,BR,Itau,69,54,0.782608695652174,0.9,0.11739130434782608,3.2504180333157686,3.2504180333157686,PROCESSOR_ERROR,INC-001,0.3043478260869565,0.3043478260869565
CAND-437B3297,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_A|country=BR|issuing_bank=Nubank,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:08:00,2026-08-31 10:09:00,2,2,Merchant_A,,,BR,Nubank,110,75,0.6818181818181818,0.8333333333333334,0.1515151515151516,3.193743884534264,3.0233170911291083,PROCESSOR_ERROR,INC-001,0.2813226985709538,0.288135593220339
CAND-2C47E1B4,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_A|country=MX|issuing_bank=BBVA,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:05:00,2026-08-31 10:11:00,7,7,Merchant_A,,,MX,BBVA,418,242,0.5789473684210527,0.9459459459459459,0.3669985775248933,17.90538626064397,12.724418323460602,ISSUER_UNAVAILABLE,INC-002,0.5389890414587942,0.8076923076923077
CAND-C15C4E34,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_B|country=BR,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_B,,,BR,,365,289,0.7917808219178082,0.935672514619883,0.1438916927020748,6.518917887833962,5.585717750529101,PROCESSOR_ERROR,INC-001,0.34515915119363394,0.367816091954023
CAND-589B0740,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_B|country=BR|issuing_bank=Banco do Brasil,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:07:00,2026-08-31 10:08:00,2,2,Merchant_B,,,BR,Banco do Brasil,136,105,0.7720588235294118,0.8913043478260869,0.11924552429667512,3.2302401179342977,3.1625630937181715,INVALID_CARD,INC-001,0.2065972222222222,0.21875
CAND-B72D3C15,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_B|country=MX|issuing_bank=Banorte,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:03:00,2026-08-31 10:09:00,7,7,Merchant_B,,,MX,Banorte,405,354,0.8740740740740741,0.9574468085106382,0.08337273443656412,4.157609203101506,3.1313920559031403,INSUFFICIENT_FUNDS,,0.0,0.0
CAND-67C5BEE0,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_B|country=MX|issuing_bank=Santander,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:03:00,2026-08-31 10:11:00,9,9,Merchant_B,,,MX,Santander,526,463,0.8802281368821293,0.9756097560975608,0.09538161921543153,6.028091789695969,4.709255439955122,INSUFFICIENT_FUNDS,,0.0,0.0
CAND-22E12678,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_C|country=BR,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_C,,,BR,,338,271,0.8017751479289941,0.9194029850746267,0.11762783714563263,6.80294601058479,3.9421152092951215,PROCESSOR_ERROR,INC-001,0.3315071755259713,0.3736263736263736
CAND-37C73F9B,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_C|country=BR|issuing_bank=Bradesco,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:07:00,2026-08-31 10:10:00,4,4,Merchant_C,,,BR,Bradesco,208,168,0.8076923076923077,0.9333333333333333,0.12564102564102564,4.266342774821177,3.6388796394814005,PROCESSOR_ERROR,INC-001,0.2566353192220284,0.2941176470588235
CAND-47B239E6,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_C|country=BR|issuing_bank=Itau,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:11:00,8,8,Merchant_C,,,BR,Itau,511,430,0.8414872798434442,0.9607843137254902,0.11929703388204604,7.483314773547886,4.899405227078795,PROCESSOR_ERROR,INC-001,0.18467456915767766,0.2698412698412698
CAND-E9192BE2,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_C|country=BR|issuing_bank=Nubank,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:08:00,2026-08-31 10:08:00,1,1,Merchant_C,,,BR,Nubank,80,68,0.85,0.925,0.07500000000000007,2.5468581598680564,2.5468581598680564,PROCESSOR_ERROR,INC-001,0.1875,0.1875
CAND-BFAF16FB,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_C|country=MX|issuing_bank=Banorte,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:04:00,1,1,Merchant_C,,,MX,Banorte,57,49,0.8596491228070176,0.9375,0.07785087719298245,2.428148766601532,2.428148766601532,SUSPECTED_FRAUD,,0.0,0.0
CAND-AC5C54F6,L6_MERCHANT_BANK_COUNTRY|merchant=Merchant_C|country=MX|issuing_bank=Citibanamex,L6_MERCHANT_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_C,,,MX,Citibanamex,233,192,0.8240343347639485,0.925,0.10096566523605155,3.609358681683476,2.9341272934718248,DO_NOT_HONOR,,0.0,0.0
