transaction_id,timestamp,merchant,provider,payment_method,country,issuing_bank,status,decline_code,is_retry
live_202608311000_90,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,BR,,approved,,False
live_202608311000_91,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Nubank,approved,,False
live_202608311000_92,2026-08-31 10:00:00,Merchant_C,Adyen,PIX,BR,,approved,,False
live_202608311000_93,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,CO,,approved,,False
live_202608311000_94,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,CO,,approved,,False
live_202608311000_95,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,declined,DO_NOT_HONOR,False
live_202608311000_96,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_97,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,MX,,approved,,False
live_202608311000_98,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,BR,,approved,,False
live_202608311000_99,2026-08-31 10:00:00,Merchant_B,Adyen,card,BR,Banco do Brasil,approved,,False
live_202608311000_100,2026-08-31 10:00:00,Merchant_C,Stripe,card,BR,Nubank,approved,,False
live_202608311000_101,2026-08-31 10:00:00,Merchant_C,dLocal,card,CO,Bancolombia,approved,,False
live_202608311000_102,2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,BBVA,approved,,False
live_202608311000_103,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,MX,,approved,,False
live_202608311000_104,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_105,2026-08-31 10:00:00,Merchant_B,Adyen,card,MX,BBVA,approved,,False
live_202608311000_106,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Citibanamex,approved,,False
live_202608311000_107,2026-08-31 10:00:00,Merchant_A,Stripe,card,CO,Davivienda,approved,,False
live_202608311000_108,2026-08-31 10:00:00,Merchant_C,dLocal,PSE,CO,,approved,,False
live_202608311000_109,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,CO,,approved,,False
live_202608311000_110,2026-08-31 10:00:00,Merchant_A,dLocal,PSE,CO,,approved,,False
live_202608311000_111,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,CO,,approved,,False
live_202608311000_112,2026-08-31 10:00:00,Merchant_A,Adyen,card,CO,Banco de Bogota,approved,,False
live_202608311000_113,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,CO,,approved,,False
live_202608311000_114,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,approved,,False
live_202608311000_115,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,approved,,False
live_202608311000_116,2026-08-31 10:00:00,Merchant_B,Adyen,card,MX,Citibanamex,approved,,False
live_202608311000_117,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_118,2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,approved,,False
live_202608311000_119,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,BR,,approved,,False
live_202608311000_120,2026-08-31 10:00:00,Merchant_C,Stripe,card,CO,Davivienda,approved,,False
live_202608311000_121,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,CO,,approved,,False
live_202608311000_122,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,MX,,approved,,False
live_202608311000_123,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,approved,,False
live_202608311000_124,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_125,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,MX,,approved,,False
live_202608311000_126,2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,approved,,False
live_202608311000_127,2026-08-31 10:00:00,Merchant_B,Adyen,PSE,CO,,approved,,False
live_202608311000_128,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,BR,,approved,,False
live_202608311000_129,2026-08-31 10:00:00,Merchant_B,Stripe,card,BR,Itau,approved,,False
live_202608311000_130,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_131,2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Bradesco,approved,,False
live_202608311000_132,2026-08-31 10:00:00,Merchant_B,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_133,2026-08-31 10:00:00,Merchant_C,dLocal,card,MX,Banorte,approved,,False
live_202608311000_134,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,BR,,approved,,False
live_202608311000_135,2026-08-31 10:00:00,Merchant_B,Adyen,card,BR,Itau,approved,,False
live_202608311000_136,2026-08-31 10:00:00,Merchant_C,Stripe,cash_in_store,MX,,approved,,False
live_202608311000_137,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_138,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,CO,,approved,,False
live_202608311000_139,2026-08-31 10:00:00,Merchant_C,dLocal,card,CO,Davivienda,approved,,False
live_202608311000_140,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,CO,,approved,,False
live_202608311000_141,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,MX,,approved,,False
live_202608311000_142,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,CO,,approved,,False
live_202608311000_143,2026-08-31 10:00:00,Merchant_C,Adyen,PSE,CO,,approved,,False
live_202608311000_144,2026-08-31 10:00:00,Merchant_C,Adyen,card,CO,Bancolombia,approved,,False
live_202608311000_145,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,CO,,approved,,False
live_202608311000_146,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,MX,,approved,,False
live_202608311000_147,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,MX,,approved,,False
live_202608311000_148,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,BR,,approved,,False
live_202608311000_149,2026-08-31 10:00:00,Merchant_C,Stripe,card,BR,Itau,approved,,False
live_202608311000_150,2026-08-31 10:00:00,Merchant_B,Adyen,card,BR,Banco do Brasil,approved,,False
live_202608311000_151,2026-08-31 10:00:00,Merchant_B,Adyen,card,MX,Banorte,approved,,False
live_202608311000_152,2026-08-31 10:00:00,Merchant_C,Stripe,wallet,CO,,approved,,False
live_202608311000_153,2026-08-31 10:00:00,Merchant_B,dLocal,PIX,BR,,approved,,False
live_202608311000_154,2026-08-31 10:00:00,Merchant_C,dLocal,PSE,CO,,approved,,False
live_202608311000_155,2026-08-31 10:00:00,Merchant_B,Adyen,card,CO,Bancolombia,approved,,False
live_202608311000_156,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,BR,,declined,DO_NOT_HONOR,False
live_202608311000_157,2026-08-31 10:00:00,Merchant_C,Stripe,card,MX,Citibanamex,approved,,False
live_202608311000_158,2026-08-31 10:00:00,Merchant_C,dLocal,PIX,BR,,declined,DO_NOT_HONOR,False
live_202608311000_159,2026-08-31 10:00:00,Merchant_A,Adyen,wallet,MX,,approved,,False
live_202608311000_160,2026-08-31 10:00:00,Merchant_A,dLocal,card,BR,Nubank,approved,,False
live_202608311000_161,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,CO,,declined,DO_NOT_HONOR,False
live_202608311000_162,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,Banorte,approved,,False
live_202608311000_163,2026-08-31 10:00:00,Merchant_B,Adyen,card,MX,Banorte,declined,DO_NOT_HONOR,False
live_202608311000_164,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,MX,,approved,,False
live_202608311000_165,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Bradesco,approved,,False
live_202608311000_166,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,BBVA,approved,,False
live_202608311000_167,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,BR,,approved,,False
live_202608311000_168,2026-08-31 10:00:00,Merchant_C,Adyen,PSE,CO,,approved,,False
live_202608311000_169,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,approved,,False
live_202608311000_170,2026-08-31 10:00:00,Merchant_C,dLocal,card,MX,Santander,approved,,False
live_202608311000_171,2026-08-31 10:00:00,Merchant_A,Stripe,card,MX,BBVA,approved,,False
live_202608311000_172,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,BR,,approved,,False
live_202608311000_173,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,approved,,False
live_202608311000_174,2026-08-31 10:00:00,Merchant_B,Stripe,card,BR,Nubank,approved,,False
live_202608311000_175,2026-08-31 10:00:00,Merchant_C,dLocal,card,BR,Banco do Brasil,approved,,False
live_202608311000_176,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,MX,,approved,,False
live_202608311000_177,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,MX,,approved,,False
live_202608311000_178,2026-08-31 10:00:00,Merchant_C,Adyen,card,CO,Davivienda,approved,,False
live_202608311000_179,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,approved,,False
live_202608311000_180,2026-08-31 10:00:00,Merchant_B,Stripe,card,BR,Banco do Brasil,approved,,False
live_202608311000_181,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,Santander,declined,DO_NOT_HONOR,False
live_202608311000_182,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_183,2026-08-31 10:00:00,Merchant_C,Stripe,wallet,MX,,approved,,False
live_202608311000_184,2026-08-31 10:00:00,Merchant_B,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_185,2026-08-31 10:00:00,Merchant_B,Stripe,PSE,CO,,approved,,False
live_202608311000_186,2026-08-31 10:00:00,Merchant_B,dLocal,card,MX,Banorte,approved,,False
live_202608311000_187,2026-08-31 10:00:00,Merchant_B,Adyen,PIX,BR,,approved,,False
live_202608311000_188,2026-08-31 10:00:00,Merchant_C,Stripe,card,CO,Davivienda,approved,,False
live_202608311000_189,2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Banco do Brasil,approved,,False
live_202608311000_190,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,CO,,approved,,False
live_202608311000_191,2026-08-31 10:00:00,Merchant_C,Adyen,card,MX,Banorte,approved,,False
live_202608311000_192,2026-08-31 10:00:00,Merchant_B,Adyen,PIX,BR,,approved,,False
live_202608311000_193,2026-08-31 10:00:00,Merchant_C,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_194,2026-08-31 10:00:00,Merchant_C,Stripe,PIX,BR,,approved,,False
live_202608311000_195,2026-08-31 10:00:00,Merchant_A,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_196,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,CO,,approved,,False
live_202608311000_197,2026-08-31 10:00:00,Merchant_B,Adyen,card,CO,Davivienda,approved,,False
live_202608311000_198,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,BR,,approved,,False
live_202608311000_199,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,approved,,False
live_202608311000_200,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,MX,,approved,,False
live_202608311000_201,2026-08-31 10:00:00,Merchant_C,dLocal,PIX,BR,,approved,,False
live_202608311000_202,2026-08-31 10:00:00,Merchant_B,dLocal,PSE,CO,,approved,,False
live_202608311000_203,2026-08-31 10:00:00,Merchant_C,Adyen,PSE,CO,,approved,,False
live_202608311000_204,2026-08-31 10:00:00,Merchant_C,Stripe,PIX,BR,,approved,,False
live_202608311000_205,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,CO,,approved,,False
live_202608311000_206,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,BR,,declined,DO_NOT_HONOR,False
live_202608311000_207,2026-08-31 10:00:00,Merchant_B,Stripe,cash_in_store,MX,,declined,DO_NOT_HONOR,False
live_202608311000_208,2026-08-31 10:00:00,Merchant_B,Stripe,card,CO,Banco de Bogota,declined,DO_NOT_HONOR,False
live_202608311000_209,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,MX,,approved,,False
live_202608311000_210,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,approved,,False
live_202608311000_211,2026-08-31 10:00:00,Merchant_C,Adyen,card,BR,Nubank,approved,,False
live_202608311000_212,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,CO,,approved,,False
live_202608311000_213,2026-08-31 10:00:00,Merchant_B,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_214,2026-08-31 10:00:00,Merchant_C,dLocal,card,CO,Banco de Bogota,approved,,False
live_202608311000_215,2026-08-31 10:00:00,Merchant_A,dLocal,card,BR,Banco do Brasil,approved,,False
live_202608311000_216,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,MX,,approved,,False
live_202608311000_217,2026-08-31 10:00:00,Merchant_B,Adyen,PSE,CO,,approved,,False
live_202608311000_218,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,BR,,approved,,False
live_202608311000_219,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,declined,DO_NOT_HONOR,False
live_202608311000_220,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,approved,,False
live_202608311000_221,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,approved,,False
live_202608311000_222,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,MX,,approved,,False
live_202608311000_223,2026-08-31 10:00:00,Merchant_C,dLocal,card,MX,Citibanamex,declined,DO_NOT_HONOR,False
live_202608311000_224,2026-08-31 10:00:00,Merchant_C,Adyen,PIX,BR,,approved,,False
live_202608311000_225,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,MX,,approved,,False
live_202608311000_226,2026-08-31 10:00:00,Merchant_A,Stripe,wallet,CO,,approved,,False
live_202608311000_227,2026-08-31 10:00:00,Merchant_B,dLocal,card,CO,Banco de Bogota,approved,,False
live_202608311000_228,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,BR,,declined,DO_NOT_HONOR,False
live_202608311000_229,2026-08-31 10:00:00,Merchant_C,dLocal,PSE,CO,,approved,,False
live_202608311000_230,2026-08-31 10:00:00,Merchant_A,dLocal,card,CO,Banco de Bogota,approved,,False
live_202608311000_231,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,BR,,approved,,False
live_202608311000_232,2026-08-31 10:00:00,Merchant_A,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_233,2026-08-31 10:00:00,Merchant_B,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_234,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,approved,,False
live_202608311000_235,2026-08-31 10:00:00,Merchant_A,Stripe,cash_in_store,MX,,declined,DO_NOT_HONOR,False
live_202608311000_236,2026-08-31 10:00:00,Merchant_B,dLocal,PIX,BR,,approved,,False
live_202608311000_237,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,CO,,approved,,False
live_202608311000_238,2026-08-31 10:00:00,Merchant_A,Adyen,card,MX,Santander,approved,,False
live_202608311000_239,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,CO,,approved,,False
live_202608311000_240,2026-08-31 10:00:00,Merchant_B,Stripe,wallet,CO,,approved,,False
live_202608311000_241,2026-08-31 10:00:00,Merchant_B,dLocal,wallet,BR,,approved,,False
live_202608311000_242,2026-08-31 10:00:00,Merchant_B,dLocal,card,CO,Banco de Bogota,approved,,False
live_202608311000_243,2026-08-31 10:00:00,Merchant_A,dLocal,PIX,BR,,approved,,False
live_202608311000_244,2026-08-31 10:00:00,Merchant_A,dLocal,cash_in_store,MX,,approved,,False
live_202608311000_245,2026-08-31 10:00:00,Merchant_C,Adyen,PIX,BR,,approved,,False
live_202608311000_246,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,approved,,False
live_202608311000_247,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,MX,,approved,,False
live_202608311000_248,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,BR,,approved,,False
live_202608311000_249,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,MX,,approved,,False
live_202608311000_250,2026-08-31 10:00:00,Merchant_B,dLocal,PSE,CO,,approved,,False
live_202608311000_251,2026-08-31 10:00:00,Merchant_B,Stripe,PSE,CO,,declined,DO_NOT_HONOR,False
live_202608311000_252,2026-08-31 10:00:00,Merchant_B,Stripe,PIX,BR,,approved,,False
live_202608311000_253,2026-08-31 10:00:00,Merchant_C,Adyen,wallet,MX,,approved,,False
live_202608311000_254,2026-08-31 10:00:00,Merchant_A,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_255,2026-08-31 10:00:00,Merchant_C,dLocal,card,MX,Banorte,approved,,False
live_202608311000_256,2026-08-31 10:00:00,Merchant_A,dLocal,card,MX,Santander,approved,,False
live_202608311000_257,2026-08-31 10:00:00,Merchant_A,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_258,2026-08-31 10:00:00,Merchant_A,Stripe,PIX,BR,,approved,,False
live_202608311000_259,2026-08-31 10:00:00,Merchant_A,dLocal,card,MX,BBVA,approved,,False
live_202608311000_260,2026-08-31 10:00:00,Merchant_A,dLocal,card,CO,Bancolombia,approved,,False
live_202608311000_261,2026-08-31 10:00:00,Merchant_A,dLocal,wallet,CO,,approved,,False
live_202608311000_262,2026-08-31 10:00:00,Merchant_A,Adyen,PSE,CO,,approved,,False
live_202608311000_263,2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Itau,approved,,False
live_202608311000_264,2026-08-31 10:00:00,Merchant_C,dLocal,PSE,CO,,approved,,False
live_202608311000_265,2026-08-31 10:00:00,Merchant_A,Stripe,PSE,CO,,approved,,False
live_202608311000_266,2026-08-31 10:00:00,Merchant_A,Adyen,PIX,BR,,approved,,False
live_202608311000_267,2026-08-31 10:00:00,Merchant_A,Adyen,card,BR,Itau,approved,,False
live_202608311000_268,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,BR,,approved,,False
live_202608311000_269,2026-08-31 10:00:00,Merchant_B,dLocal,PIX,BR,,approved,,False
live_202608311000_270,2026-08-31 10:00:00,Merchant_C,Adyen,cash_in_store,MX,,approved,,False
live_202608311000_271,2026-08-31 10:00:00,Merchant_C,dLocal,wallet,BR,,approved,,False
live_202608311000_272,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,MX,,approved,,False
live_202608311000_273,2026-08-31 10:00:00,Merchant_B,Adyen,wallet,CO,,approved,,False
live_202608311000_274,2026-08-31 10:00:00,Merchant_B,Adyen,PIX,BR,,approved,,False
